Semivariogram           tail:Primary      head:Primary       direction  1 
   1         .000       .00000      940      436.45787      436.45787
   2        3.837  32214.72758      210      673.53143      673.53143
   3       11.092  55453.16101     3126      575.80278      575.80278
   4       20.469  75746.27552     5204      525.23044      525.23044
   5       30.245  88328.11797     6266      502.56763      502.56763
   6       40.500  90450.01906     7388      465.12753      465.12753
   7       50.137  95871.58647     7954      466.43900      466.43900
   8       60.321  91511.31846     9840      447.54181      447.54181
   9       70.350  93860.86229    10100      464.20486      464.20486
  10       80.354  92339.56411    10642      451.72529      451.72529
  11       90.094  94541.70117    10436      455.41428      455.41428
  12      100.296  92305.48568    11068      438.48761      438.48761
