Semivariogram           tail:Primary      head:Primary       direction  1 
   1         .000       .00000      470      436.45787      436.45787
   2        3.839  32496.05378      104      658.24327      688.33654
   3       10.794  59827.25430      742      586.26145      561.38908
   4       19.835  83470.58770     1312      532.77492      495.24725
   5       29.793  99199.47234     1424      497.51187      455.89459
   6       40.061  94356.47820     1221      434.29664      414.55397
   7       49.859 106323.28400      919      420.66257      410.50544
   8       60.146  85150.82569      893      409.74334      378.54121
   9       69.870  89604.64102      708      453.13263      391.94209
  10       80.218  77512.52679      715      401.44182      331.33846
  11       89.897  97336.19302      535      450.48822      327.79234
  12      100.265  75946.37961      644      432.62081      312.62314
Semivariogram           tail:Primary      head:Primary       direction  2 
   1         .000       .00000      470      436.45787      436.45787
   2        3.845  33863.66315       91      659.72527      695.57143
   3       10.765  61684.59807      808      585.27488      555.97079
   4       20.332  86111.13193     1230      522.90976      488.62528
   5       29.543  97668.13303     1361      487.65187      451.10059
   6       40.142 100525.79729     1130      421.43637      406.92849
   7       49.606 110201.52124      884      420.01142      410.59581
   8       60.063  85899.81157      812      411.00185      404.91416
   9       70.267  81973.92255      780      434.66820      401.33526
  10       80.072  86053.42952      687      450.55750      363.69476
  11       90.017  92388.60216      625      476.98032      340.87168
  12      100.517  90679.53694      639      527.08779      323.07684
Semivariogram           tail:Primary      head:Primary       direction  3 
   1         .000       .00000      470      436.45787      436.45787
   2        3.876  34660.95882       75      686.83867      710.79200
   3       11.047  59927.75027      823      579.97254      558.24095
   4       20.368  81763.90989     1357      524.16419      499.96264
   5       30.038  93606.58854     1462      496.40404      462.23345
   6       40.377 106191.82052     1089      439.49908      423.03030
   7       49.407 110525.31611      930      422.24978      411.09322
   8       59.615 102106.07528      899      417.87820      418.41223
   9       70.358  88996.06028      805      425.07888      404.85751
  10       80.204  98774.20356      688      468.36279      404.97863
  11       89.630  91691.56238      637      474.14835      387.78446
  12      100.159  89884.81471      632      499.92405      339.81487
Semivariogram           tail:Primary      head:Primary       direction  4 
   1         .000       .00000      470      436.45787      436.45787
