Semivariogram           tail:Primary      head:Primary       direction  1 
   1         .000       .00000      940      436.45787      436.45787
   2        2.107  11298.08012       22      710.56818      710.56818
   3        5.448  42675.96924      488      629.48176      629.48176
   4       10.402  51935.80617     1720      583.15663      583.15663
   5       14.830  71145.19258     1856      554.65997      554.65997
   6       20.263  70866.61683     3034      504.55966      504.55966
   7       24.885  86680.37518     2406      533.71014      533.71014
   8       30.089  83955.93019     3540      491.27011      491.27011
   9       34.836  99826.25608     2810      508.30847      508.30847
  10       40.266  89875.12860     4084      467.48636      467.48636
  11       44.882  86281.80407     3748      436.12399      436.12399
  12       50.183  98459.94545     4278      475.79736      475.79736
  13       55.002  94380.55433     3878      458.37421      458.37421
  14       60.198  88909.68721     5314      445.95039      445.95039
  15       64.781  96394.79643     4434      464.17066      464.17066
  16       70.232  96305.48013     5476      461.05802      461.05802
  17       74.794  90715.10462     4684      459.60499      459.60499
  18       80.168  92560.17928     5742      455.96297      455.96297
  19       84.855  87640.50519     5072      442.02498      442.02498
  20       90.076  95298.17927     5658      451.36446      451.36446
  21       94.800 100178.36731     4458      466.37636      466.37636
  22      100.163  89540.65071     6472      429.82230      429.82230
